sample,step,layer,name,cosine,relative_l2,max_abs_diff,mean_abs_diff
sample_00004,16,23,block_out,0.7603268027305603,0.6667160987854004,825.1402587890625,1.163380742073059
sample_00004,16,27,block_out,0.805801510810852,0.598679780960083,996.8360595703125,1.8216315507888794
sample_00004,16,31,block_out,0.7820680141448975,0.6633983254432678,559.6395874023438,3.484537124633789
sample_00004,16,8,block_out,0.9813368320465088,0.19785603880882263,252.599365234375,0.1139228492975235
sample_00004,32,16,block_out,0.8789094090461731,0.48099809885025024,653.1494140625,0.5798267126083374
sample_00004,32,1,block_out,0.9898074269294739,0.14840219914913177,26.064453125,0.015649763867259026
sample_00004,32,23,block_out,0.7499698400497437,0.6824007034301758,848.288818359375,1.204310655593872
sample_00004,32,27,block_out,0.7858211994171143,0.6255836486816406,1004.736083984375,1.9001914262771606
sample_00004,32,31,block_out,0.7490391731262207,0.70531165599823,549.9638671875,3.6254608631134033
sample_00004,32,8,block_out,0.9773645997047424,0.21756091713905334,234.55908203125,0.12232904136180878
sample_00004,4,16,block_out,0.892852783203125,0.4523453116416931,619.491943359375,0.5491945743560791
sample_00004,4,1,block_out,0.9988787770271301,0.06354860216379166,22.4912109375,0.003302248427644372
sample_00004,4,23,block_out,0.777135968208313,0.6424625515937805,831.978759765625,1.1153254508972168
sample_00004,4,27,block_out,0.8324092626571655,0.5590240955352783,931.854736328125,1.7151275873184204
sample_00004,4,31,block_out,0.8252825140953064,0.5961824655532837,571.513427734375,3.2450180053710938
sample_00004,4,8,block_out,0.987004816532135,0.16565798223018646,219.50732421875,0.10272768884897232
sample_00004,63,16,block_out,0.8833385705947876,0.47344136238098145,456.264404296875,0.5502466559410095
sample_00004,63,1,block_out,0.9836907386779785,0.18469330668449402,24.76171875,0.02459093928337097
sample_00004,63,23,block_out,0.774983286857605,0.6474167108535767,794.488037109375,1.148706316947937
sample_00004,63,27,block_out,0.8214809894561768,0.5766004323959351,951.738525390625,1.740785002708435
sample_00004,63,31,block_out,0.7842241525650024,0.65242999792099,576.536865234375,3.157780647277832
sample_00004,63,8,block_out,0.9780664443969727,0.21617312729358673,177.81077575683594,0.12642531096935272
sample_00005,0,16,block_out,0.9102640748023987,0.4147488474845886,214.3660888671875,0.5847731232643127
sample_00005,0,1,block_out,1.000585913658142,0.0005340380012057722,0.037109375,0.00016701426648069173
sample_00005,0,23,block_out,0.8042794466018677,0.6049667596817017,404.72802734375,1.1108604669570923
sample_00005,0,27,block_out,0.8565705418586731,0.5189086198806763,486.12841796875,1.6180651187896729
sample_00005,0,31,block_out,0.8700869679450989,0.5138218402862549,529.8616333007812,3.0687482357025146
sample_00005,0,8,block_out,0.9931049942970276,0.12275959551334381,2.94580078125,0.1134936660528183
sample_00005,16,16,block_out,0.8572684526443481,0.5187355279922485,675.209716796875,0.6265614628791809
sample_00005,16,1,block_out,0.9930471181869507,0.12249265611171722,28.0595703125,0.011936518363654613
sample_00005,16,23,block_out,0.7373127341270447,0.695485532283783,886.22705078125,1.2185096740722656
sample_00005,16,27,block_out,0.7904825806617737,0.6200699210166931,1004.51220703125,1.8860621452331543
sample_00005,16,31,block_out,0.7578403949737549,0.7085502743721008,650.579345703125,3.7916817665100098
sample_00005,16,8,block_out,0.9775597453117371,0.21540655195713043,217.653564453125,0.13374553620815277
sample_00005,32,16,block_out,0.8564061522483826,0.5211693048477173,606.485595703125,0.637936532497406
sample_00005,32,1,block_out,0.989764392375946,0.14682839810848236,26.91796875,0.01844378374516964
sample_00005,32,23,block_out,0.7328179478645325,0.7018080353736877,817.48046875,1.2420200109481812
sample_00005,32,27,block_out,0.7762197852134705,0.639482319355011,929.69775390625,1.9495807886123657
sample_00005,32,31,block_out,0.7162702679634094,0.7691617608070374,937.8349609375,3.982470989227295
sample_00005,32,8,block_out,0.9778029918670654,0.2151271551847458,202.2735595703125,0.13971470296382904
sample_00005,4,16,block_out,0.8692862391471863,0.49700671434402466,612.70849609375,0.6058198809623718
sample_00005,4,1,block_out,0.9975452423095703,0.07793669402599335,22.6611328125,0.004915722645819187
sample_00005,4,23,block_out,0.7560009360313416,0.6714979410171509,797.1700439453125,1.1712085008621216
sample_00005,4,27,block_out,0.8187429904937744,0.5795208215713501,919.8555908203125,1.769274115562439
sample_00005,4,31,block_out,0.8091096878051758,0.6317724585533142,744.5692138671875,3.500501871109009
sample_00005,4,8,block_out,0.9830101132392883,0.18767717480659485,183.70785522460938,0.12209836393594742
sample_00005,63,16,block_out,0.8580693006515503,0.5199505090713501,528.404296875,0.6074903607368469
sample_00005,63,1,block_out,0.9804354310035706,0.20022089779376984,27.95941162109375,0.030678346753120422
sample_00005,63,23,block_out,0.748229444026947,0.6896336674690247,913.4559326171875,1.192707896232605
sample_00005,63,27,block_out,0.7976304888725281,0.6194689869880676,1095.2078857421875,1.80778169631958
sample_00005,63,31,block_out,0.7576770186424255,0.6882669925689697,622.5164794921875,3.4613304138183594
sample_00005,63,8,block_out,0.9757610559463501,0.226484477519989,196.95989990234375,0.15119658410549164
