sample,step,layer,module,base_mean,base_max,base_p99,base_p999,base_p9999,base_top001_mean,base_max_over_p9999,base_max_over_mean,exp13_mean,exp13_max,exp13_p99,exp13_p999,exp13_p9999,exp13_top001_mean,exp13_max_over_p9999,exp13_max_over_mean,delta_max,ratio_max,delta_p9999,ratio_p9999,delta_top001_mean,ratio_top001_mean
sample_00087,32,27,q_proj_INPUT,0.5577835440635681,36.72003936767578,1.9140781164169312,8.548324584960938,18.9824161529541,13.659584999084473,1.9344238927465014,65.83205815259831,0.5932239890098572,35.96875,2.02734375,8.15625,18.4375,12.989693641662598,1.9508474565690317,60.63266162534724,-0.7512893676757812,0.9795400715683182,-0.5449161529541016,0.9712936352108034,-0.669891357421875,0.9509581464607925
sample_00087,32,27,up_proj_INPUT,0.5756629109382629,18.843185424804688,1.9749631881713867,5.225800514221191,11.46844482421875,7.736640930175781,1.643046262783747,32.73301916700229,0.6030089259147644,18.875,2.052734375,5.03125,11.578125,7.64614725112915,1.6302294182950783,31.301360354414363,0.0318145751953125,1.0016883857193566,0.10968017578125,1.009563647675576,-0.09049367904663086,0.9883032326630665
sample_00087,32,31,attn_out_INPUT,0.8197178244590759,12.28125,3.841796875,6.015625,8.0703125,6.8713059425354,1.5217812178626524,14.98228961689516,0.9091973304748535,12.1484375,3.9921875,6.09375,8.4921875,7.080030918121338,1.4305427766043286,13.361716933372398,-0.1328125,0.9891857498306884,0.421875,1.0522749260920503,0.2087249755859375,1.0303763166751323
sample_00087,32,31,ff_out_INPUT,0.6474785804748535,487.25,8.3359375,25.65625,47.40625,36.57544708251953,10.278180617475927,752.5345349915838,0.6614711284637451,463.0,8.5703125,27.015625,48.46875,36.71842956542969,9.552546742065239,699.9549535529384,-24.25,0.9502308876151825,1.0625,1.0224126563433276,0.14298248291015625,1.0039092474399143
sample_00087,32,31,ff_proj_INPUT,0.6775233745574951,59.492637634277344,2.481534242630005,8.807256698608398,27.768503189086914,15.943589210510254,2.1424502864898236,87.80898045774943,0.700005054473877,59.0625,2.513671875,8.6484375,26.078125,15.466846466064453,2.26482923819683,84.3743895544403,-0.43013763427734375,0.9927699012632579,-1.690378189086914,0.9391260599475705,-0.4767427444458008,0.9700981536934916
sample_00087,32,31,q_proj_INPUT,0.6843140721321106,28.28388214111328,2.422999382019043,6.851901054382324,15.962647438049316,11.254899024963379,1.7718791468121822,41.33172600071223,0.7182643413543701,26.546875,2.509765625,6.45703125,15.4609375,10.753129959106445,1.717028801314908,36.95975576393678,-1.7370071411132812,0.9385866783833664,-0.5017099380493164,0.968569753251637,-0.5017690658569336,0.9554177186042996
sample_00087,32,31,up_proj_INPUT,0.6775233745574951,59.492637634277344,2.481534242630005,8.807256698608398,27.768503189086914,15.943589210510254,2.1424502864898236,87.80898045774943,0.700005054473877,59.0625,2.513671875,8.6484375,26.078125,15.466846466064453,2.26482923819683,84.3743895544403,-0.43013763427734375,0.9927699012632579,-1.690378189086914,0.9391260599475705,-0.4767427444458008,0.9700981536934916
sample_00087,32,8,attn_out_INPUT,0.06609433144330978,3.15234375,0.441650390625,0.83251953125,1.37890625,1.0599391460418701,2.286118963590752,47.6946086633425,0.06572726368904114,3.115234375,0.438720703125,0.828125,1.3681640625,1.0546493530273438,2.276945022615334,47.39637292333655,-0.037109375,0.9882280018217303,-0.0107421875,0.9922096245324175,-0.005289793014526367,0.9950093333335471
sample_00087,32,8,ff_out_INPUT,0.04413626715540886,20.015625,0.267578125,0.85009765625,2.7578125,1.6476832628250122,7.257790341954755,453.495996717682,0.04821218177676201,19.078125,0.291015625,0.87451171875,2.763671875,1.6560505628585815,6.903180187035843,395.7116301274555,-0.9375,0.953161592029646,0.005859375,1.002124642258585,0.008367300033569336,1.0050782150742013
sample_00087,32,8,ff_proj_INPUT,0.19410453736782074,9.835028648376465,0.7407161593437195,1.1860790252685547,5.32883882522583,2.561704397201538,1.8456232122020384,50.668718387825606,0.1950341910123825,9.8359375,0.744140625,1.1845703125,5.31640625,2.5586256980895996,1.850110209598617,50.431859894027134,0.0009088516235351562,1.0000924086400866,-0.012432575225830078,0.9976669241442159,-0.0030786991119384766,0.9987981794061471
sample_00087,32,8,q_proj_INPUT,0.15724223852157593,19.360464096069336,0.9011919498443604,3.5975520610809326,16.75710105895996,7.751562595367432,1.155358794841413,123.12507788524023,0.15685905516147614,19.359375,0.89990234375,3.58984375,16.75,7.748586654663086,1.155783581399532,123.41891098273977,-0.0010890960693359375,0.9999437458697596,-0.0071010589599609375,0.9995762352371845,-0.002975940704345703,0.9996160837684153
sample_00087,32,8,up_proj_INPUT,0.19410453736782074,9.835028648376465,0.7407161593437195,1.1860790252685547,5.32883882522583,2.561704397201538,1.8456232122020384,50.668718387825606,0.1950341910123825,9.8359375,0.744140625,1.1845703125,5.31640625,2.5586256980895996,1.850110209598617,50.431859894027134,0.0009088516235351562,1.0000924086400866,-0.012432575225830078,0.9976669241442159,-0.0030786991119384766,0.9987981794061471
sample_00087,4,16,attn_out_INPUT,0.20808526873588562,3.912109375,1.203125,1.953125,2.705078125,2.2767794132232666,1.4462093809353127,18.80051005417584,0.191045343875885,4.16796875,1.072265625,1.7802734375,2.451171875,2.082517147064209,1.7003983994374186,21.81664544801112,0.255859375,1.0654018944309247,-0.25390625,0.90613718076576,-0.19426226615905762,0.9146767252999687
sample_00087,4,16,ff_out_INPUT,0.10572615265846252,26.640625,0.630859375,1.9150390625,4.50390625,3.014026641845703,5.91500432338039,251.97760261156736,0.11877646297216415,19.84375,0.6787109375,1.84765625,3.93359375,2.7543020248413086,5.044687176847667,167.06801863573168,-6.796875,0.7448680349110173,-0.5703125,0.8733738055196557,-0.25972461700439453,0.9138280257590468
sample_00087,4,16,ff_proj_INPUT,0.3293772339820862,19.589509963989258,1.145521640777588,2.5523390769958496,12.284893989562988,6.268101692199707,1.5946014645861915,59.47438786953561,0.35255396366119385,18.5,1.22265625,2.44921875,11.8203125,6.055947303771973,1.5651024441484922,52.47423481823692,-1.0895099639892578,0.9443829899045,-0.4645814895629883,0.9621827018141536,-0.21215438842773438,0.9661533254392982
sample_00087,4,16,q_proj_INPUT,0.392718642950058,31.948898315429688,1.4664843082427979,5.6683807373046875,17.819517135620117,9.871800422668457,1.79291605122322,81.35314703142616,0.42137742042541504,28.59375,1.55859375,5.36328125,17.265625,9.439607620239258,1.6561085963258737,67.8578109205618,-3.3551483154296875,0.8949839117689025,-0.5538921356201172,0.9689165457686792,-0.4321928024291992,0.9562194540522763
sample_00087,4,16,up_proj_INPUT,0.3293772339820862,19.589509963989258,1.145521640777588,2.5523390769958496,12.284893989562988,6.268101692199707,1.5946014645861915,59.47438786953561,0.35255396366119385,18.5,1.22265625,2.44921875,11.8203125,6.055947303771973,1.5651024441484922,52.47423481823692,-1.0895099639892578,0.9443829899045,-0.4645814895629883,0.9621827018141536,-0.21215438842773438,0.9661533254392982
sample_00087,4,1,attn_out_INPUT,0.019038140773773193,1.5068359375,0.1837158203125,0.5107421875,0.94775390625,0.6810745000839233,1.5899020955377665,79.14823006737636,0.019077103585004807,1.5078125,0.1842041015625,0.51171875,0.953125,0.6835633516311646,1.5819671965170654,79.03776917201911,0.0009765625,1.0006480814992635,0.00537109375,1.00566717125396,0.002488851547241211,1.0036542867342584
sample_00087,4,1,ff_out_INPUT,0.006218395661562681,5.13671875,0.06329345703125,0.2177734375,0.67236328125,0.40994319319725037,7.639796545778479,826.0507643866299,0.006209117826074362,5.140625,0.06329345703125,0.21826171875,0.67626953125,0.41058236360549927,7.6014439309187205,827.9141844064904,0.00390625,1.0007604543255157,0.00390625,1.0058097163406077,0.0006391704082489014,1.0015591438112985
sample_00087,4,1,ff_proj_INPUT,0.04375680536031723,4.431646823883057,0.2665909230709076,0.9264479875564575,2.480203866958618,1.498404622077942,1.786807473794219,101.27900733612547,0.043667301535606384,4.4296875,0.2666015625,0.92626953125,2.466796875,1.4966217279434204,1.7957244582786152,101.44172710032828,-0.0019593238830566406,0.9995578767991898,-0.013406991958618164,0.9945943952095347,-0.0017828941345214844,0.998810131725201
sample_00087,4,1,q_proj_INPUT,0.029347477480769157,14.379816055297852,0.3772076368331909,2.52311110496521,13.26818561553955,6.256840705871582,1.08378164589577,489.98457073099246,0.0293307825922966,14.3828125,0.377685546875,2.5234375,13.2734375,6.2598958015441895,1.083578574816374,490.36562700243843,0.0029964447021484375,1.000208377818502,0.005251884460449219,1.000395824614508,0.003055095672607422,1.0004882792788472
sample_00087,4,1,up_proj_INPUT,0.04375680536031723,4.431646823883057,0.2665909230709076,0.9264479875564575,2.480203866958618,1.498404622077942,1.786807473794219,101.27900733612547,0.043667301535606384,4.4296875,0.2666015625,0.92626953125,2.466796875,1.4966217279434204,1.7957244582786152,101.44172710032828,-0.0019593238830566406,0.9995578767991898,-0.013406991958618164,0.9945943952095347,-0.0017828941345214844,0.998810131725201
sample_00087,4,23,attn_out_INPUT,0.30038517713546753,6.125,1.580078125,2.6953125,3.78125,3.1749966144561768,1.6198347064599412,20.390486156821545,0.3032529652118683,6.0390625,1.513671875,2.57421875,3.619140625,3.0434679985046387,1.6686454352166948,19.914272879864733,-0.0859375,0.9859693861453561,-0.162109375,0.9571280966423059,-0.13152861595153809,0.9585736170746113
sample_00087,4,23,ff_out_INPUT,0.1581856608390808,31.546875,1.01953125,3.1015625,7.7734375,5.028966426849365,4.058291452065715,199.42940996275206,0.18915051221847534,29.90625,1.1923828125,3.125,6.8125,4.658535957336426,4.389908250436832,158.10820741725078,-1.640625,0.9479940561630925,-0.9609375,0.8763819084203328,-0.37043046951293945,0.9263406339722933
sample_00087,4,23,ff_proj_INPUT,0.4372981786727905,28.537578582763672,1.4927783012390137,4.691047191619873,14.479491233825684,8.902950286865234,1.9708964978263728,65.25885384839083,0.4910898506641388,25.421875,1.65234375,4.45703125,12.1875,8.115469932556152,2.08589743418593,51.76623880122475,-3.115703582763672,0.8908210245436265,-2.2919912338256836,0.8417077502772736,-0.787480354309082,0.9115483813734917
sample_00087,4,23,q_proj_INPUT,0.47030070424079895,49.45602798461914,1.6300984621047974,8.093077659606934,16.49127197265625,12.079355239868164,2.9989213710520133,105.15830932652408,0.5315121412277222,46.03125,1.8310546875,7.34765625,15.1640625,10.993486404418945,3.0355486842423995,86.60432295606779,-3.4247779846191406,0.9307510503069159,-1.32720947265625,0.9195204903507705,-1.0858688354492188,0.9101053969365567
sample_00087,4,23,up_proj_INPUT,0.4372981786727905,28.537578582763672,1.4927783012390137,4.691047191619873,14.479491233825684,8.902950286865234,1.9708964978263728,65.25885384839083,0.4910898506641388,25.421875,1.65234375,4.45703125,12.1875,8.115469932556152,2.08589743418593,51.76623880122475,-3.115703582763672,0.8908210245436265,-2.2919912338256836,0.8417077502772736,-0.787480354309082,0.9115483813734917
