sample,step,layer,module,mean,max,p99,p999,p9999,top001_mean,massive_score_1,massive_score_2
sample_00002,0,8,ff_out_INPUT,0.03870990872383118,13.015625,0.234375,0.6962890625,2.017578125,1.2547968626022339,6.4511132303681515,336.234883179621
sample_00002,0,16,ff_out_INPUT,0.1040453314781189,27.828125,0.59228515625,1.802734375,4.32421875,2.8687877655029297,6.435411005894624,267.4615182636731
sample_00002,0,23,ff_out_INPUT,0.1628565788269043,42.625,1.0361328125,3.197265625,8.109375,5.25860595703125,5.256262035907499,261.7333465415079
sample_00002,0,27,ff_out_INPUT,0.22814691066741943,181.75,1.7880859375,6.78515625,19.390625,12.317543983459473,9.373086215955862,796.6357795595479
sample_00002,0,31,ff_out_INPUT,0.6625195145606995,505.5,8.7109375,27.5,51.25,37.82152557373047,9.863414632221772,762.9963816314465
sample_00002,4,1,ff_out_INPUT,0.00619259150698781,6.515625,0.06170654296875,0.2115478515625,0.65869140625,0.4106961190700531,9.891771532554868,1052.162809547439
sample_00002,4,8,ff_out_INPUT,0.038623709231615067,12.9375,0.233642578125,0.693359375,2.009765625,1.249937891960144,6.4373177522263685,334.96256335174826
sample_00002,4,16,ff_out_INPUT,0.10366453975439072,27.984375,0.591796875,1.8046875,4.33203125,2.8719124794006348,6.459873745232392,269.951252055814
sample_00002,4,23,ff_out_INPUT,0.16091695427894592,44.53125,1.02734375,3.11328125,7.79296875,5.116625785827637,5.714285706953097,276.73434059323966
sample_00002,4,27,ff_out_INPUT,0.22535310685634613,173.375,1.7802734375,6.57421875,18.203125,11.747013092041016,9.524463514080981,769.3481342462187
sample_00002,4,31,ff_out_INPUT,0.648597002029419,490.25,8.53125,26.53125,48.0625,36.39716339111328,10.200260075901117,755.8622548476422
sample_00002,16,1,ff_out_INPUT,0.006214631721377373,6.52734375,0.061859130859375,0.2117919921875,0.66455078125,0.41104835271835327,9.822189418693284,1050.316984090488
sample_00002,16,8,ff_out_INPUT,0.03866438940167427,12.90625,0.2332763671875,0.69091796875,1.9970703125,1.2462366819381714,6.462591654681204,333.80190044905044
sample_00002,16,16,ff_out_INPUT,0.10381217300891876,27.875,0.591796875,1.806640625,4.328125,2.8683102130889893,6.440433198115967,268.51376391540856
sample_00002,16,23,ff_out_INPUT,0.161098450422287,45.4375,1.029296875,3.091796875,7.7890625,5.0848774909973145,5.833500494015165,282.0480089064464
sample_00002,16,27,ff_out_INPUT,0.2254803627729416,173.875,1.7861328125,6.56640625,18.078125,11.665897369384766,9.617977522769658,771.1314198291302
sample_00002,16,31,ff_out_INPUT,0.6483285427093506,499.5,8.5,26.453125,47.84375,36.45320129394531,10.440235138248939,770.4426990182687
sample_00002,32,1,ff_out_INPUT,0.006247535347938538,6.5546875,0.062103271484375,0.2115478515625,0.66162109375,0.4113715589046478,9.907010920372262,1049.1620524471757
sample_00002,32,8,ff_out_INPUT,0.03878318518400192,12.828125,0.23291015625,0.69140625,1.994140625,1.2442781925201416,6.432908880571505,330.7650372574667
sample_00002,32,16,ff_out_INPUT,0.10395145416259766,27.84375,0.5908203125,1.7998046875,4.328125,2.868924617767334,6.43321298152615,267.8533700732456
sample_00002,32,23,ff_out_INPUT,0.16174812614917755,46.1875,1.0341796875,3.107421875,7.8125,5.099957466125488,5.91199999243264,285.55197666946873
sample_00002,32,27,ff_out_INPUT,0.22559583187103271,172.5,1.79296875,6.5546875,17.890625,11.602636337280273,9.641921391990541,764.6417530098528
sample_00002,32,31,ff_out_INPUT,0.6464827060699463,489.5,8.421875,26.125,47.6875,36.39461135864258,10.264744427729543,757.174148406836
sample_00002,63,1,ff_out_INPUT,0.0063094571232795715,6.7421875,0.0626220703125,0.2109375,0.6611328125,0.4104938805103302,10.197931898926406,1068.5827136056946
sample_00002,63,8,ff_out_INPUT,0.03885851800441742,13.3125,0.2315673828125,0.6865234375,1.9892578125,1.2348829507827759,6.692194369892945,342.58889061589366
sample_00002,63,16,ff_out_INPUT,0.10261030495166779,30.296875,0.58544921875,1.7548828125,4.15625,2.7891268730163574,7.2894736666719435,295.26149504823803
sample_00002,63,23,ff_out_INPUT,0.16369418799877167,45.28125,1.0537109375,3.150390625,7.875,5.158836841583252,5.749999992698413,276.62098323325904
sample_00002,63,27,ff_out_INPUT,0.2303607016801834,161.375,1.8623046875,6.5546875,17.578125,11.42754077911377,9.180444439221791,700.5317826246417
sample_00002,63,31,ff_out_INPUT,0.6561188101768494,495.5,8.453125,26.03125,48.09375,37.073875427246094,10.302794019950037,755.1985780051906
sample_00003,0,1,ff_out_INPUT,0.006117428652942181,6.65234375,0.06103515625,0.210693359375,0.6484375,0.4093356430530548,10.259035986366673,1087.439388836463
sample_00003,0,8,ff_out_INPUT,0.03959015756845474,18.375,0.2379150390625,0.7060546875,2.115234375,1.308814525604248,8.68698056834964,464.1303921795247
sample_00003,0,16,ff_out_INPUT,0.1055290549993515,27.796875,0.60498046875,1.8388671875,4.37890625,2.9131624698638916,6.347903642952156,263.4049207218013
sample_00003,0,23,ff_out_INPUT,0.16175147891044617,39.53125,1.0224609375,3.115234375,8.171875,5.17981481552124,4.837476093506721,244.3949682706569
sample_00003,0,27,ff_out_INPUT,0.22745555639266968,148.5,1.7724609375,6.79296875,19.890625,12.476211547851562,7.465828747228491,652.874767389231
sample_00003,0,31,ff_out_INPUT,0.6591455340385437,501.5,8.640625,27.125,49.125,37.0577392578125,10.208651397412996,760.8334828865575
sample_00003,4,1,ff_out_INPUT,0.006139748264104128,6.6484375,0.061126708984375,0.2108154296875,0.650390625,0.4101194143295288,10.22222206505172,1082.8500429519916
sample_00003,4,8,ff_out_INPUT,0.03959531709551811,18.25,0.2376708984375,0.705078125,2.109375,1.3044265508651733,8.651851810835666,460.91297480570023
sample_00003,4,16,ff_out_INPUT,0.10502543300390244,27.875,0.60205078125,1.8310546875,4.36328125,2.9035608768463135,6.388540719467624,265.4118773768395
sample_00003,4,23,ff_out_INPUT,0.16261610388755798,40.65625,1.0390625,3.1484375,7.953125,5.171163558959961,5.11198427648002,250.01366118066284
sample_00003,4,27,ff_out_INPUT,0.22644270956516266,140.0,1.78125,6.58984375,18.25,11.748942375183105,7.671232872508913,618.2578988136232
sample_00003,4,31,ff_out_INPUT,0.6458059549331665,496.75,8.46875,26.59375,47.625,36.21157455444336,10.430446192035602,769.1938863578132
sample_00003,16,1,ff_out_INPUT,0.006167219951748848,6.6484375,0.061309814453125,0.2110595703125,0.65625,0.41091200709342957,10.130952226575966,1078.0265292547906
sample_00003,16,8,ff_out_INPUT,0.039631571620702744,18.125,0.237060546875,0.705078125,2.1015625,1.30167818069458,8.62453527494645,457.33728654755134
sample_00003,16,16,ff_out_INPUT,0.10504215210676193,27.859375,0.6015625,1.8310546875,4.3671875,2.9054131507873535,6.379248643711202,265.220883131523
sample_00003,16,23,ff_out_INPUT,0.1615910530090332,41.0,1.033203125,3.09765625,7.921875,5.108138084411621,5.175542399778408,253.72690318713995
sample_00003,16,27,ff_out_INPUT,0.22439323365688324,142.125,1.767578125,6.5078125,17.984375,11.539851188659668,7.902693305770874,633.3746849228735
sample_00003,16,31,ff_out_INPUT,0.644646167755127,485.0,8.4453125,26.4375,47.65625,36.27247619628906,10.177049178192357,752.3506952122663
sample_00003,32,1,ff_out_INPUT,0.006196016911417246,6.65625,0.061553955078125,0.211181640625,0.65283203125,0.41108280420303345,10.195960950775406,1074.2771287411153
sample_00003,32,8,ff_out_INPUT,0.0397321879863739,17.96875,0.2366943359375,0.70556640625,2.09375,1.3008829355239868,8.582089511249722,452.2465635090804
sample_00003,32,16,ff_out_INPUT,0.10526923835277557,27.75,0.6005859375,1.82421875,4.37109375,2.8941853046417236,6.348525454645018,263.6097477109832
sample_00003,32,23,ff_out_INPUT,0.1624566614627838,41.125,1.041015625,3.123046875,7.96875,5.146889686584473,5.160784307249212,253.14442078435093
sample_00003,32,27,ff_out_INPUT,0.22515486180782318,139.75,1.7744140625,6.4921875,17.84375,11.48620891571045,7.8318739010399305,620.6838825112391
sample_00003,32,31,ff_out_INPUT,0.6439334154129028,498.0,8.40625,26.203125,47.25,36.1717414855957,10.539682537451919,773.3718740888044
sample_00003,63,1,ff_out_INPUT,0.006234484724700451,6.71875,0.061981201171875,0.2093505859375,0.65625,0.4089694321155548,10.23809508208617,1077.6735399872869
sample_00003,63,8,ff_out_INPUT,0.03967525437474251,17.484375,0.235107421875,0.7021484375,2.07421875,1.290697693824768,8.429378490434635,440.68704457406585
sample_00003,63,16,ff_out_INPUT,0.1021633967757225,27.90625,0.578125,1.7431640625,4.14453125,2.75527286529541,6.73327048328259,273.1530875948772
sample_00003,63,23,ff_out_INPUT,0.16251100599765778,40.75,1.0546875,3.150390625,7.8828125,5.173484802246094,5.169474720895018,250.7522320861456
sample_00003,63,27,ff_out_INPUT,0.22425943613052368,122.375,1.7802734375,6.390625,17.28125,11.235384941101074,7.081374317782929,545.6849292706056
sample_00003,63,31,ff_out_INPUT,0.6440898180007935,489.5,8.3515625,25.875,46.6875,36.292091369628906,10.484605084769028,759.9871612929694
sample_00004,0,1,ff_out_INPUT,0.006159562151879072,6.4765625,0.06170654296875,0.21142578125,0.6494140625,0.4073038697242737,9.972932177258908,1051.4630465079015
sample_00004,0,8,ff_out_INPUT,0.038321830332279205,12.8515625,0.2313232421875,0.6826171875,1.9912109375,1.2292039394378662,6.454144155914451,335.3586985532865
sample_00004,0,16,ff_out_INPUT,0.10543385148048401,27.78125,0.5986328125,1.826171875,4.29296875,2.8546512126922607,6.471337564543563,263.49457005463427
sample_00004,0,23,ff_out_INPUT,0.16117987036705017,44.875,1.0302734375,3.138671875,7.98046875,5.159368515014648,5.6231032724448635,278.4156428073249
sample_00004,0,27,ff_out_INPUT,0.22489580512046814,147.25,1.7587890625,6.64453125,18.609375,11.892098426818848,7.912678417242557,654.7476213424593
sample_00004,0,31,ff_out_INPUT,0.6511293649673462,498.0,8.625,27.859375,51.4375,38.15441131591797,9.681652489004781,764.8249628193697
sample_00004,4,1,ff_out_INPUT,0.006183840334415436,6.48046875,0.061859130859375,0.2117919921875,0.6533203125,0.4084208011627197,9.919282359381985,1047.9666226612524
